"Referencia","Designação","Cor","Tamanho","EAN","PVP","Stock","Posição Grelha","Data da exportação"
"118813553-8","Mitsubishi","388","2XL","3566236085071306","€34,15","117","2","2019-04-01 04:22:15"
"127003761-7","Acura","489","XL","4041594880718","€15,00","87","1","2019-04-26 03:40:56"
"373131515-7","BMW","718","XL","4405639871486740","€37,90","1","3","2019-04-13 23:36:43"
"590700774-5","Ford","101","M","3559783520280926","€18,40","12","1","2019-04-06 19:53:31"
"294364515-X","Toyota","174","S","4508664784922140","€95,41","48","3","2019-04-02 20:03:43"
"361163781-5","Lexus","481","2XL","3556372152888702","€80,21","93","3","2019-04-11 05:02:21"
"518966739-1","Mercury","705","S","6763450102606212997","€80,18","100","2","2019-04-23 13:46:00"
"655513608-1","Acura","462","XL","4405197043878575","€96,32","139","2","2019-04-18 16:57:27"
"041716269-3","Chevrolet","767","M","4508086379493636","€71,29","25","2","2019-04-03 21:22:54"
"440881658-2","Oldsmobile","188","XS","3570614722439942","€51,00","149","1","2019-04-21 12:04:09"
"114013421-3","Ford","561","XL","5100139915526622","€67,59","54","3","2019-04-23 20:18:15"
"912537393-5","Ford","464","XS","3578182849990413","€54,08","70","2","2019-04-25 01:06:18"
"475108019-9","BMW","720","XL","3584919153477079","€82,29","51","2","2019-04-23 14:48:21"
"850829632-0","Hyundai","763","M","3544246015191923","€74,49","90","2","2019-04-09 10:34:49"
"509980187-0","Nissan","826","S","560222698941795367","€51,18","94","1","2019-04-30 11:05:09"
"503088167-0","MINI","541","M","3531540917569284","€12,06","87","3","2019-04-28 21:56:54"
"730480599-4","Chevrolet","896","2XL","6385302754137281","€25,69","82","2","2019-04-11 18:28:02"
"844912569-3","Nissan","67","M","3536971421853044","€89,96","15","2","2019-04-25 23:31:51"
"919190975-9","Volvo","306","2XL","5010128461094845","€49,44","67","3","2019-04-02 09:46:06"
"282628944-6","Pontiac","243","XL","3533043664200292","€66,87","94","2","2019-04-16 18:35:06"
"289860615-4","Mercedes-Benz","980","XL","676351981598052838","€64,59","8","2","2019-04-26 06:53:29"
"274559812-0","Ford","175","2XL","5602242562003812141","€94,33","17","1","2019-04-03 23:02:55"
"889796829-5","GMC","763","2XL","374288606480746","€25,65","105","2","2019-04-17 16:26:45"
"610368503-6","Ford","515","2XL","3544895893383539","€3,56","100","3","2019-04-21 02:35:49"
"357526885-1","GMC","31","2XL","3534629706507303","€58,58","1","2","2019-04-20 12:57:35"
"018036974-1","Lexus","807","S","3561191200187591","€31,65","140","1","2019-04-08 06:50:46"
"564006718-7","Maybach","934","M","5391559002531540","€44,85","5","1","2019-04-17 20:45:32"
"983859907-7","Hyundai","762","2XL","4903442929410683152","€20,87","52","2","2019-04-15 09:38:49"
"607247724-0","GMC","935","3XL","3584424773008123","€24,66","51","3","2019-04-30 07:28:32"
"464047974-3","Porsche","924","2XL","6388773248977838","€62,80","98","2","2019-04-21 00:36:07"
"113966924-9","Chevrolet","548","L","3587453643584143","€23,33","53","3","2019-04-28 13:28:10"
"728389958-8","Mercury","445","XL","3540416706649125","€33,60","135","3","2019-04-25 09:33:21"
"958471368-X","Pontiac","620","S","3580887276194109","€47,08","10","2","2019-04-13 16:52:49"
"416157981-0","Suzuki","925","L","3538636887966733","€97,86","2","2","2019-04-30 23:22:15"
"402665383-8","Pontiac","179","XS","3543949205301811","€42,09","62","3","2019-04-20 18:06:03"
"334171970-9","Volvo","577","S","4405795322752518","€93,27","94","2","2019-04-18 00:23:42"
"642514999-X","BMW","116","2XL","63040738916330827","€76,86","111","2","2019-04-01 05:02:32"
"051662901-8","Isuzu","756","L","4936774297501604","€8,65","75","2","2019-04-25 19:24:08"
"969944660-9","Mercedes-Benz","133","2XL","6763005533692506696","€21,07","78","3","2019-04-09 09:27:05"
"761657713-X","Nissan","647","M","374283949188858","€10,92","26","1","2019-04-01 03:11:13"
"326494367-0","Saturn","231","XS","4917793414965743","€17,15","31","3","2019-04-12 10:51:17"
"681133843-1","Toyota","264","3XL","3555343238684093","€89,80","45","3","2019-04-11 06:05:57"
"692868864-5","Toyota","468","3XL","5602212271605302586","€62,37","123","2","2019-04-29 12:15:42"
"639210593-X","Rolls-Royce","851","XL","3584316566012298","€89,59","132","1","2019-04-09 03:08:51"
"780893219-1","Toyota","617","M","5328115699042859","€49,58","59","1","2019-04-30 10:20:33"
"866499325-4","Honda","668","M","560221286732066221","€50,78","56","2","2019-04-08 23:11:46"
"138959166-2","Porsche","371","3XL","5425443320614355","€47,50","113","3","2019-04-21 19:48:32"
"582465647-9","Buick","29","XL","5610811190422379","€27,08","15","2","2019-04-26 05:46:27"
"139847940-3","Geo","23","3XL","3574267302113050","€75,70","15","1","2019-04-20 00:54:47"
"117096631-4","Chevrolet","448","M","5188204505141250","€69,38","112","3","2019-04-25 13:08:22"
"765935987-8","Ford","910","XL","4017950873174","€61,42","132","2","2019-04-09 10:12:49"
"784108398-X","Mitsubishi","652","M","3547766227751377","€93,84","46","2","2019-04-30 19:30:21"
"538638105-9","Ford","816","L","3586293820522180","€73,64","51","1","2019-04-08 05:53:35"
"116603801-7","Lincoln","971","XS","3530299190661729","€94,88","71","1","2019-04-06 12:44:44"
"581895267-3","Ford","580","XL","5100131146458782","€6,60","35","1","2019-04-13 22:48:22"
"732787726-6","Mitsubishi","887","XL","5010121312411086","€57,63","67","1","2019-04-16 07:32:14"
"925628211-9","Acura","107","3XL","3573674808814753","€9,60","49","3","2019-05-02 03:42:08"
"831930762-7","Pontiac","480","XL","3532157885251131","€98,73","111","2","2019-04-11 02:07:16"
"393366584-1","Porsche","352","XL","6763109942636459869","€25,45","36","3","2019-04-15 03:12:02"
"447676237-9","Scion","769","M","560222908140027672","€90,88","69","3","2019-04-10 19:26:57"
"645848282-5","Pontiac","742","L","3540097210520505","€68,25","64","3","2019-04-18 10:50:00"
"057131001-X","Ford","859","S","5108753112257229","€89,32","108","2","2019-04-23 10:56:34"
"275367915-0","Kia","282","2XL","3584705174427346","€39,30","37","2","2019-04-24 06:51:42"
"996116150-5","Isuzu","385","2XL","5018949212879842","€70,03","48","1","2019-04-17 07:18:30"
"310188581-7","Mercedes-Benz","859","S","3570066640517251","€73,91","77","3","2019-04-27 14:15:13"
"585883257-1","Hyundai","31","3XL","6334285627611465843","€77,04","72","1","2019-04-14 14:51:15"
"210592428-X","Honda","304","XL","3538632090752895","€80,57","53","1","2019-04-17 00:49:36"
"620522823-8","Lexus","307","M","6759530378320598","€18,39","48","2","2019-04-29 21:27:20"
"619859936-1","Mazda","459","3XL","560221167790677606","€88,23","38","2","2019-04-08 15:51:19"
"577116371-6","Infiniti","749","L","675931120339871286","€68,22","40","1","2019-04-27 21:53:53"
"445786358-0","Mercedes-Benz","474","XL","630498743375116884","€33,39","50","3","2019-04-23 17:27:01"
"282453977-1","GMC","257","XS","3547118041248380","€58,28","117","2","2019-04-03 14:56:28"
"658592469-X","BMW","518","2XL","6759555385324036","€14,64","27","2","2019-04-01 22:43:56"
"611372100-0","Lexus","483","S","5602249062025758","€10,04","10","1","2019-04-08 01:04:05"
"417824745-X","Toyota","312","M","3577094603647249","€81,99","13","3","2019-04-08 09:29:09"
"259626073-5","Ford","354","XS","3575549410964238","€16,85","73","3","2019-04-19 16:44:20"
"605139568-7","Suzuki","180","S","5610759480223421","€71,36","9","1","2019-04-22 01:48:03"
"904272889-2","Volkswagen","695","M","3588062206918884","€24,57","39","2","2019-04-27 02:57:08"
"481764411-7","GMC","898","S","5602218188831282","€6,21","26","1","2019-04-07 20:33:10"
"178605655-0","GMC","364","XL","3530633574978657","€39,13","87","2","2019-04-04 23:55:06"
"174358388-5","Ford","420","3XL","4936036451836614481","€37,30","86","3","2019-04-18 17:30:17"
"901169243-8","Subaru","411","XS","5311858653620306","€2,65","124","3","2019-04-20 09:48:10"
"710734261-4","Mercedes-Benz","336","XL","3562726607294307","€94,76","13","1","2019-04-09 14:20:03"
"950980520-3","Buick","526","XS","5007661087447034","€73,52","13","1","2019-04-07 22:22:51"
"908594170-9","Saab","430","M","201772559304192","€32,42","21","3","2019-04-02 01:43:18"
"816679971-5","Saab","57","S","3558547546768292","€52,06","68","2","2019-04-22 19:58:20"
"739240126-2","Chevrolet","566","M","3570084852709052","€9,90","97","2","2019-04-08 01:31:35"
"428926951-6","Lamborghini","866","L","30072927530348","€81,84","80","1","2019-04-04 22:41:52"
"495269072-5","Pontiac","951","2XL","4041373273781686","€6,25","19","1","2019-04-15 22:53:47"
"792171134-0","Ford","447","S","0604759273603392270","€47,18","45","3","2019-04-19 16:07:28"
"874880051-1","Plymouth","557","XS","4508877641646187","€56,30","7","3","2019-05-01 13:55:11"
"170521608-0","Ford","719","2XL","36039870641376","€14,03","39","1","2019-04-10 23:29:49"
"758740880-0","Volvo","449","S","67616717029421827","€24,43","128","3","2019-04-06 07:46:54"
"628506801-1","Bentley","668","L","3584967211264070","€39,96","142","2","2019-04-23 00:31:39"
"156348537-0","Lincoln","85","XL","3582743955115212","€45,87","9","1","2019-04-21 15:28:08"
"496009448-6","Dodge","478","3XL","3556881823375113","€37,38","23","3","2019-04-11 00:04:44"
"604383409-X","Chevrolet","732","XL","30118750269809","€51,40","93","2","2019-04-21 00:41:00"
"974903770-7","Mazda","875","M","4844440644636136","€54,95","94","1","2019-04-14 02:17:02"
"201216712-8","Bentley","189","3XL","677153775398683216","€61,80","88","1","2019-04-25 17:00:52"
"075621541-2","Mazda","677","3XL","3535276494524212","€65,87","33","1","2019-04-23 18:09:41"
"885578473-0","Honda","631","XS","0604986615138924198","€87,58","13","3","2019-04-25 18:01:24"
"548942738-8","Peugeot","70","2XL","3587133446655981","€60,15","41","2","2019-04-08 16:02:44"
"546770124-X","Chevrolet","737","2XL","374283541197919","€19,83","35","3","2019-04-25 23:01:41"
"789138190-9","Hyundai","678","XS","3588581977424970","€81,98","85","1","2019-04-01 02:09:02"
"223099969-9","GMC","662","S","5002354579095942","€14,50","147","1","2019-04-23 23:41:43"
"986411301-1","Chevrolet","302","3XL","675961139072968292","€38,92","46","2","2019-04-12 01:48:44"
"770874474-1","Ford","466","XL","6762707811129525239","€33,92","9","2","2019-04-30 17:56:12"
"206351731-2","Buick","214","XS","5018370469829515","€9,33","88","2","2019-04-27 06:10:58"
"709243918-3","BMW","942","M","630490524296912603","€59,82","43","3","2019-04-16 04:17:21"
"141960863-0","Suzuki","319","M","30280873002010","€48,11","62","2","2019-04-06 15:00:29"
"111095781-5","Mitsubishi","316","XS","201955140892730","€35,00","112","3","2019-04-16 04:08:12"
"259202072-1","Volkswagen","769","M","5164674770245606","€8,66","150","3","2019-05-01 03:58:35"
"156927371-5","Nissan","506","XL","201565953302477","€42,70","44","1","2019-04-13 15:53:57"
"190360089-8","Mercury","423","XL","6761077730285453826","€74,65","133","1","2019-04-21 09:07:45"
"268952951-3","Jaguar","483","2XL","0604412224963824","€99,91","77","1","2019-04-18 20:26:35"
"482691343-5","Chevrolet","102","M","3542858787114388","€20,49","28","1","2019-04-23 17:55:17"
"058577094-8","Ford","759","M","5610214397934421","€89,30","148","2","2019-04-03 22:38:32"
"290611922-9","Pontiac","851","XS","201472143517587","€36,10","55","1","2019-04-04 12:07:56"
"828514094-6","Bentley","225","2XL","5100138797928492","€68,53","6","3","2019-04-08 16:15:15"
"681470962-7","Toyota","974","3XL","201784097121749","€49,89","102","1","2019-04-06 16:59:48"
"143275535-8","Chrysler","693","XS","3556075504739594","€84,79","13","2","2019-04-11 15:05:54"
"669597778-X","Volkswagen","40","3XL","4017957043496656","€15,70","47","3","2019-04-22 02:53:50"
"726762940-7","Toyota","626","2XL","3547498981913239","€9,70","45","3","2019-04-11 09:59:22"
"529121240-3","GMC","754","S","36375037896705","€97,60","102","3","2019-04-18 02:05:19"
"719479847-6","Mitsubishi","253","3XL","201780408071813","€56,32","24","3","2019-04-27 11:00:00"
"983193118-1","Nissan","762","XL","201457736261313","€14,44","33","1","2019-04-19 10:53:06"
"437626614-0","Chevrolet","182","XS","3585707040317676","€7,70","137","2","2019-04-07 05:12:48"
"666754181-6","Pontiac","415","M","3571095952213216","€11,92","70","2","2019-04-26 02:41:53"
"921988618-9","Chevrolet","805","XS","3582322122641093","€5,48","91","3","2019-05-01 01:48:56"
"006925417-6","Land Rover","805","L","3549045595822419","€27,25","46","2","2019-04-01 19:26:39"
"187125053-6","Mercedes-Benz","966","XS","3560797130844936","€51,57","106","3","2019-04-06 12:29:40"
"902725595-4","GMC","435","XS","3548425317173393","€28,20","69","2","2019-04-26 09:22:31"
"096776424-6","Mercury","318","L","3545939469384692","€47,88","81","3","2019-04-09 15:07:11"
"382144236-0","Ford","187","XS","4026408611248920","€1,65","13","3","2019-04-23 14:22:55"
"203215314-9","Suzuki","77","S","3535443580384576","€90,41","86","1","2019-04-12 09:35:08"
"898599885-4","Chrysler","138","XL","6304285434737950","€57,91","118","2","2019-04-20 19:11:46"
"461494479-5","Chevrolet","456","XS","5134093534567394","€66,63","21","1","2019-04-06 05:40:54"
"032768907-2","Oldsmobile","655","M","30141573132442","€1,95","59","1","2019-05-01 08:42:38"
"373402299-1","Ford","264","2XL","6334475564630919","€9,40","130","1","2019-05-02 00:47:50"
"413580428-4","Volvo","114","L","6759525824496324926","€77,62","88","3","2019-04-03 00:39:13"
"409433896-9","Toyota","868","L","6706485268336606929","€18,62","84","2","2019-04-13 01:22:39"
"678565411-4","Chevrolet","704","2XL","3549899689397906","€74,96","30","3","2019-04-06 04:14:21"
"942074456-6","BMW","867","S","3537600469872249","€82,42","12","1","2019-04-07 09:52:47"
"663887363-6","GMC","28","L","5397871518837640","€39,72","111","2","2019-04-08 00:28:01"
"584218849-X","Toyota","565","M","201805742243560","€94,83","138","3","2019-04-19 14:08:53"
"370400293-3","Mitsubishi","834","XS","3559372945682229","€77,90","84","1","2019-04-12 13:37:27"
"564376567-5","Dodge","502","XS","5048374100039728","€10,55","67","1","2019-04-08 06:59:13"
"880040153-8","Lotus","668","2XL","30404338470881","€79,54","136","3","2019-04-05 15:40:17"
"881217447-7","Chrysler","256","2XL","337941510597288","€1,14","37","3","2019-04-13 15:18:14"
"993192627-9","Toyota","139","L","5602222658793170","€88,66","51","1","2019-04-06 07:19:38"
"955333963-8","Cadillac","194","L","3570540156082884","€70,67","47","2","2019-04-13 23:22:04"
"923080415-0","Audi","557","M","3554079206222547","€48,04","58","1","2019-04-05 14:22:52"
"640636257-8","Suzuki","784","XL","3529041555566959","€66,11","42","3","2019-04-16 04:57:57"
"511021483-2","Suzuki","940","2XL","3546269731348591","€42,89","28","2","2019-04-25 09:31:28"
"252956059-5","Saab","352","XS","5610861261490151","€10,14","79","2","2019-04-19 08:24:56"
"518661247-2","Ford","960","L","5602213410765382","€48,75","19","2","2019-04-17 10:31:54"
"473157278-9","Chevrolet","80","L","3531563904581096","€3,86","48","1","2019-04-29 14:52:57"
"357135675-6","Chrysler","978","L","3552827962566511","€1,72","11","1","2019-04-08 12:50:58"
"866129070-8","Mazda","515","2XL","5522692838536706","€95,83","66","3","2019-04-23 17:07:19"
"225191733-0","Lexus","350","XL","3556004099893202","€87,18","35","3","2019-04-06 01:58:59"
"262976964-X","Mitsubishi","98","M","5002356342978569","€6,18","12","1","2019-04-14 23:57:02"
"514613658-0","MINI","757","2XL","5602228299914976","€68,49","49","2","2019-04-27 21:30:42"
"416325661-X","Acura","826","3XL","30527425153703","€62,88","120","1","2019-04-19 23:26:05"
"387598385-8","Toyota","833","L","201425585346337","€87,73","80","1","2019-05-01 18:42:33"
"712239970-2","Audi","270","XS","4911676423113061221","€47,91","83","3","2019-04-04 00:53:18"
"727948181-7","Chevrolet","533","3XL","3572588336301862","€59,85","11","2","2019-04-23 14:02:06"
"718120634-6","Honda","752","S","4041372030239","€75,22","97","2","2019-04-14 10:59:13"
"470228842-3","Lincoln","68","2XL","3565461366508823","€17,32","103","3","2019-04-02 06:35:58"
"564192643-4","Mercedes-Benz","392","3XL","5538985535954988","€32,02","92","3","2019-04-17 06:28:09"
"242005532-2","Aston Martin","351","XL","3541231919810458","€35,22","110","2","2019-04-07 06:16:35"
"580296567-3","Kia","54","XL","3582955823224253","€98,19","90","2","2019-04-28 08:38:44"
"262705669-7","Porsche","931","XL","675974290769199686","€12,86","106","2","2019-04-16 03:51:40"
"371160430-7","GMC","869","XS","3530376311866021","€64,40","22","2","2019-04-15 01:01:05"
"447884743-6","BMW","32","XS","6331106111420001233","€29,12","6","1","2019-04-02 02:30:32"
"748313788-6","Mercedes-Benz","706","XL","6763480755479290","€91,54","17","2","2019-04-06 14:58:27"
"643952090-3","Mitsubishi","762","XS","3553433671126488","€48,68","101","1","2019-04-15 18:25:43"
"079693892-X","Buick","129","XS","5369317329357844","€13,41","96","2","2019-04-26 23:02:47"
"924281629-9","Chevrolet","683","M","3549036580560791","€55,37","84","3","2019-04-06 20:34:07"
"065372946-4","Saturn","842","S","3550562560834878","€24,23","98","2","2019-04-25 12:56:50"
"782450560-X","Hummer","259","XL","56022593433018322","€31,70","115","3","2019-04-08 05:20:23"
"257847292-0","Dodge","43","2XL","3573371068383450","€45,57","95","2","2019-04-10 15:07:47"
"335371657-2","Buick","426","2XL","4026876670904056","€15,69","113","1","2019-04-15 23:07:12"
"935010127-0","Lexus","590","3XL","3542049747606768","€46,69","134","3","2019-05-01 09:39:22"
"273446624-4","Hyundai","933","S","3560591961062605","€38,02","22","1","2019-04-25 03:08:19"
"637946500-6","Hummer","176","L","56022262135901256","€30,78","15","1","2019-04-20 04:24:13"
"477388852-0","Mercury","457","3XL","491184822841410554","€51,78","61","2","2019-04-27 10:42:29"
"170423062-4","Bentley","16","2XL","3546315135549357","€48,37","36","3","2019-04-20 05:23:32"
"134300134-X","Oldsmobile","809","L","3576065918443707","€57,37","91","3","2019-04-23 13:37:32"
"589841964-0","Ford","531","S","0604349102004042","€44,66","66","2","2019-04-16 17:41:48"
"677459082-9","Land Rover","516","L","4415479360594532","€23,16","80","1","2019-04-17 17:33:42"
"544708654-X","Mercedes-Benz","244","2XL","30210614795598","€41,19","6","1","2019-05-02 00:53:13"
"350236409-5","Buick","4","M","3541463843902131","€10,25","100","3","2019-04-21 06:09:21"
"031254267-4","Volvo","705","XS","5266348317580083","€81,65","44","3","2019-04-27 21:10:41"
"446372200-4","Ford","703","2XL","4041594878456","€32,44","8","1","2019-04-14 10:53:58"
"760265390-4","Chevrolet","798","XL","201869514892913","€27,75","142","3","2019-04-19 14:48:05"
"626904002-7","Kia","924","S","3584026634434685","€16,26","40","2","2019-04-06 19:30:08"
"788097084-3","Porsche","584","3XL","6395452679304819","€25,69","79","2","2019-04-21 17:58:40"
"918032429-0","Mercury","270","S","50389810028594685","€92,06","27","2","2019-05-01 21:50:30"
"520541721-8","Audi","941","3XL","3559595102590773","€73,53","98","2","2019-04-11 19:32:52"
"569557941-4","Mitsubishi","763","XL","3567986878031649","€16,01","75","3","2019-04-08 17:35:07"
"284958540-8","Kia","280","M","30560697977293","€42,88","9","1","2019-04-02 07:24:55"
"170548938-9","GMC","849","3XL","3544085830511844","€38,78","107","1","2019-04-28 19:36:26"
"121644854-X","Infiniti","397","L","3576192218026378","€5,70","31","2","2019-04-19 19:33:36"
"733262286-6","Mercedes-Benz","702","2XL","67098921946712907","€24,23","144","3","2019-04-20 02:15:57"
"300695016-X","Porsche","126","M","4508182500972349","€38,46","116","3","2019-04-12 11:02:40"
"854844885-7","Pontiac","611","XL","36858793134882","€44,30","51","3","2019-04-19 03:04:14"
"508467045-7","Nissan","775","M","3554035131591281","€59,54","42","2","2019-04-16 21:19:34"
"771693932-7","Volvo","325","L","201665208531902","€73,54","71","1","2019-04-01 22:04:13"
"724961542-4","Dodge","869","L","3542289735108407","€2,39","110","1","2019-04-07 04:40:13"
"417005741-4","GMC","295","S","3539013993698817","€73,79","125","3","2019-04-04 12:57:54"
"398053139-2","Toyota","283","S","6375084536930785","€54,63","87","2","2019-04-13 05:36:47"
"178927554-7","Volkswagen","15","S","3529848388438713","€92,53","6","2","2019-04-26 20:34:34"
"893095323-9","Isuzu","787","2XL","3583680485149189","€19,22","74","1","2019-04-22 12:21:55"
"114202185-8","Mitsubishi","440","XS","5594837085831697","€13,16","133","3","2019-04-17 07:27:39"
"654041915-5","Ford","542","S","3557069159453196","€50,21","41","2","2019-04-24 03:06:18"
"437970559-5","Spyker","931","L","5007662384742663","€13,14","93","2","2019-04-05 04:31:13"
"730824163-7","Land Rover","11","3XL","3531689837653700","€99,28","133","3","2019-04-17 15:53:18"
"537915601-0","Chevrolet","212","S","3533002113597526","€50,20","37","1","2019-04-03 07:44:52"
"949786051-X","Acura","851","2XL","3575464286698284","€26,88","141","1","2019-04-05 17:06:20"
"408661442-1","Porsche","972","XL","337941981779985","€96,16","44","1","2019-04-22 23:50:05"
"032234802-1","Honda","299","XL","5010120027279770","€49,79","88","2","2019-04-22 20:42:58"
"640466385-6","Volvo","634","2XL","4405679346507498","€55,55","45","1","2019-04-19 15:38:37"
"829496515-4","Plymouth","548","2XL","4844646008843452","€29,15","18","3","2019-04-21 18:24:44"
"565420302-9","Nissan","369","S","6304369746901700","€55,65","140","1","2019-04-06 06:55:50"
"606868895-X","Dodge","292","3XL","346873906431245","€14,22","116","3","2019-04-11 18:13:07"
"167337829-3","Chevrolet","373","L","5108757216363494","€42,67","14","2","2019-04-14 07:00:00"
"871004620-8","Ford","859","S","3554335673913228","€73,75","131","3","2019-04-30 01:41:55"
"499403520-2","Toyota","883","S","201844964056905","€91,11","97","3","2019-04-05 18:20:52"
"491480290-2","Ford","722","2XL","3534871082110688","€10,84","15","2","2019-04-06 19:27:50"
"607823920-1","Plymouth","71","XS","63045964868369622","€31,71","119","3","2019-04-05 23:15:53"
"395302589-9","Oldsmobile","556","XL","5048375928809168","€74,09","46","2","2019-04-10 12:23:10"
"357570826-6","Buick","427","3XL","3534852047060267","€41,57","50","2","2019-04-20 01:28:59"
"681199049-X","Volkswagen","403","S","30343772524714","€81,16","147","3","2019-04-10 20:05:13"
"209335999-5","Ford","59","S","343671756722744","€16,14","138","3","2019-04-12 07:16:41"
"099050576-6","Mazda","356","XL","5100141521029207","€84,32","82","2","2019-04-25 01:33:37"
"689684829-4","Saturn","304","M","5570113532145356","€44,52","29","1","2019-04-13 13:33:12"
"378218413-0","Audi","807","M","3529493747913005","€62,01","111","1","2019-04-20 03:22:49"
"277738012-0","Pontiac","333","M","30284930010321","€92,03","116","3","2019-04-17 06:07:41"
"275854732-5","Volvo","938","XS","3576921803815096","€60,48","137","2","2019-04-13 14:45:45"
"598768437-4","Lexus","652","L","30080819758455","€39,86","22","3","2019-04-17 16:53:42"
"437543141-5","Chevrolet","663","2XL","5007662818993304","€29,18","22","3","2019-04-08 07:24:26"
"853771828-9","Toyota","827","XL","56022289745400411","€51,71","10","1","2019-04-02 08:20:56"
"833584280-9","Dodge","863","XS","337941616357447","€4,03","98","2","2019-04-29 15:07:33"
"944801056-7","Volkswagen","458","2XL","3542992723461312","€80,24","43","3","2019-04-13 14:18:56"
"092091030-0","GMC","220","XS","201451797902113","€15,60","70","3","2019-04-25 23:56:23"
"663689440-7","Toyota","423","2XL","67638573039688010","€93,80","89","1","2019-04-21 07:03:00"
"048331016-6","Ford","380","XS","30464950047045","€15,22","29","1","2019-04-08 19:16:45"
"188313643-1","Oldsmobile","134","3XL","3552732788742074","€29,63","96","1","2019-04-22 00:12:49"
"757110671-0","Buick","848","3XL","5010126166104349","€60,66","114","1","2019-04-16 06:23:40"
"854069355-0","GMC","96","3XL","3576198454719352","€18,43","108","3","2019-04-24 11:08:21"
"755857012-3","Mercury","147","2XL","30209126055855","€71,33","50","1","2019-05-01 16:09:11"
"617637647-5","Lincoln","150","L","5383859701432689","€32,35","118","2","2019-04-09 03:09:08"
"941715238-6","Ford","525","M","670969225045796176","€81,10","111","3","2019-05-01 02:53:18"
"366077210-0","Buick","590","XS","3549409275294556","€69,47","56","1","2019-04-02 09:57:48"
"222998207-9","Ford","152","2XL","3561592233448746","€69,25","37","2","2019-04-12 04:53:34"
"855780745-7","Hummer","469","S","5100178649748953","€86,55","143","3","2019-04-14 10:59:42"
"953700941-6","GMC","151","S","6709221527475572041","€83,79","10","1","2019-04-10 11:12:52"
"440504091-5","Acura","556","3XL","374074466721340","€23,65","79","2","2019-04-08 20:43:01"
